rank,tier,name,url,gold,silver,bronze,points,country,region,city,occupation,organization,YM,name_id,rank_name_id,latest_rank
392,expert,Miroslav Valan,https://www.kaggle.com/valanm,0,7,14,19101,Sweden,Stockholm County,Stockholm,veterinarian,UNKOWN,2022-09,Miroslav Valan (valanm),[Rank: 467] Miroslav Valan (valanm),467.0
393,master,kazuki,https://www.kaggle.com/askaky,1,5,0,19078,Japan,Tokyo,Tokyo,Data Scientist,Telecom,2022-09,kazuki (askaky),[Rank: 468] kazuki (askaky),468.0
394,grandmaster,tugstugi,https://www.kaggle.com/tugstugi,6,4,2,19051,Mongolia,Ulaanbaatar,Ulaanbaatar,UNKOWN,Берлиний Техникийн Их Сургууль,2022-09,tugstugi (tugstugi),[Rank: 469] tugstugi (tugstugi),469.0
395,grandmaster,n01z3,https://www.kaggle.com/drn01z3,12,20,6,18963,Turkey,Antalya,Antalya,Head of DL,Eqvilent,2022-09,n01z3 (drn01z3),[Rank: 473] n01z3 (drn01z3),473.0
396,master,hiromu,https://www.kaggle.com/hiromoon166,2,6,1,18929,Japan,Tokyo,Tokyo,Data Scientist, Recruit Co. Ltd,2022-09,hiromu (hiromoon166),[Rank: 474] hiromu (hiromoon166),474.0
397,expert,AI Fortune-telling,https://www.kaggle.com/wii365,2,0,0,18878,United States,Connecticut,Greenwich,UNKOWN,UNKOWN,2022-09,Kevin Liu (wii365),[Rank: 476] Kevin Liu (wii365),476.0
398,expert,Tensor Girl,https://www.kaggle.com/usharengaraju,0,4,4,18850,India,Karnataka,Bengaluru,Nobody,Nowhere,2022-09,Tensor Girl (usharengaraju),[Rank: 478] Tensor Girl (usharengaraju),478.0
399,expert,Takach,https://www.kaggle.com/takach,0,4,2,18833,Japan,Fukushima,Yabuki,Chemist,JTC,2022-09,Takach (takach),[Rank: 479] Takach (takach),479.0
400,master,Decalogue,https://www.kaggle.com/decalogue,1,4,0,18813,China,Shanghai,Shanghai,NLP,Etrump,2022-09,Decalogue (decalogue),[Rank: 402] Decalogue (decalogue),402.0
401,grandmaster,Victor Durnov,https://www.kaggle.com/victorsd,6,9,4,18801,Russia,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-09,Victor Durnov (victorsd),[Rank: 44] Victor Durnov (victorsd),44.0
402,expert,RICEDYS,https://www.kaggle.com/leehann,2,0,2,18790,United States,Texas,Houston,ML,Rice University,2022-09,RICEDYS (leehann),[Rank: 320] RICEDYS (leehann),320.0
403,master,ria,https://www.kaggle.com/no9more9ria10,1,2,1,18754,Japan,Tokyo,Tokyo,Developer,UNKOWN,2022-09,ria (no9more9ria10),[Rank: 409] ria (no9more9ria10),409.0
404,master,Ayushman Buragohain,https://www.kaggle.com/benihime91,3,2,0,18691,India,Assam,Guwahati,Undergraduate,"Central Institute of Technology, Kokrajhar",2022-09,Ayushman Buragohain (benihime91),[Rank: 259] Ayushman Buragohain (benihime91),259.0
405,master,Patrick Chan,https://www.kaggle.com/drpatrickchan,2,9,17,18618,Singapore,UNKOWN,Singapore,CTO/Founder,Amaris.AI,2022-09,Patrick Chan (drpatrickchan),[Rank: 437] Patrick Chan (drpatrickchan),437.0
406,master,kurupical,https://www.kaggle.com/kurupical,4,6,2,18606,Japan,Kyoto,Kyoto,DataScientist,home,2022-09,kurupical (kurupical),[Rank: 472] kurupical (kurupical),472.0
407,master,Takayoshi Makabe,https://www.kaggle.com/spidermandance,2,2,8,18575,Japan,Saitama,Saitama,Data scientist,UNKOWN,2022-09,Takayoshi Makabe (spidermandance),[Rank: 483] Takayoshi Makabe (spidermandance),483.0
408,master,start,https://www.kaggle.com/startjapan,1,3,0,18572,Japan,Hiroshima,Hiroshima,Medical Doctor (Resident),UNKOWN,2022-09,start (startjapan),[Rank: 484] start (startjapan),484.0
409,expert,Rohit Singh,https://www.kaggle.com/rohitsingh9990,0,15,5,18559,India,Maharashtra,Pune,Data Scientist,PVKL Tech Services Pvt. Ltd.,2022-09,Rohit Singh (rohitsingh9990),[Rank: 470] Rohit Singh (rohitsingh9990),470.0
410,grandmaster,David Austin,https://www.kaggle.com/tivfrvqhs5,9,5,6,18554,United States,Arizona,Phoenix,Data Scientist,UNKOWN,2022-09,David Austin (tivfrvqhs5),[Rank: 275] David Austin (tivfrvqhs5),275.0
411,master,Tomomu Iwai,https://www.kaggle.com/tomotomo5,3,1,2,18549,Japan,Tokyo,Tokyo,Algorithm Engineer,PKSHA Technology,2022-09,Tomomu Iwai (tomotomo5),[Rank: 466] Tomomu Iwai (tomotomo5),466.0
412,master,Ryan Wong,https://www.kaggle.com/taggatle,1,3,1,18519,United Kingdom,England,Guildford,PhD Student, University of Surrey,2022-09,Ryan Wong (taggatle),[Rank: 486] Ryan Wong (taggatle),486.0
413,expert,shigeria,https://www.kaggle.com/shigeria,0,6,2,18444,Japan,Kanagawa,Kawasaki,Undergraduate Student,The University of Tokyo,2022-09,si (shigeria),[Rank: 489] si (shigeria),489.0
414,master,gaozhenwei,https://www.kaggle.com/misaki1111,3,6,4,18255,China,Sichuan,Chengdu,master,uestc,2022-09,gaozhenwei (misaki1111),[Rank: 494] gaozhenwei (misaki1111),494.0
415,master,Alexandre Cadrin-Chênevert,https://www.kaggle.com/alexandrecc,2,3,4,18232,Canada,Quebec,Saint-Charles-Borromée,"MD, Radiologist, Computer engineer",CISSSL,2022-09,Alexandre Cadrin-Chênevert (alexandrecc),[Rank: 495] Alexandre Cadrin-Chênevert (alexandrecc),495.0
416,expert,tomy4reel,https://www.kaggle.com/tomy4reel,1,0,1,18193,Nigeria,Federal Capital Territory,Abuja (F.c.t.),Machine Learning Engineer,Omdena,2022-09,tomy4reel (tomy4reel),[Rank: 497] tomy4reel (tomy4reel),497.0
417,expert,Guang Sun,https://www.kaggle.com/sunlights,0,7,1,18187,China,Beijing,Beijing,UNKOWN,UNKOWN,2022-09,Guang Sun (sunlights),[Rank: 498] Guang Sun (sunlights),498.0
418,grandmaster,Azat Davletshin,https://www.kaggle.com/davletag,5,2,2,18163,Russia,UNKOWN,Moscow,Senior Deep Learning Engineer,NTechLab,2022-09,Azat Davletshin (davletag),[Rank: 500] Azat Davletshin (davletag),500.0
419,expert,katsumi,https://www.kaggle.com/katsumi2783,0,7,6,18163,Japan,Aichi,Anjo,UNKOWN,YahooJapan,2022-09,katsumi (katsumi2783),[Rank: 501] katsumi (katsumi2783),501.0
420,master,VECTOR,https://www.kaggle.com/vikazrajpurohit,1,3,0,18100,India,Rajasthan,Jodhpur,Student,Jodhpur Institute of Engineering and Technology,2022-09,VECTOR (vikazrajpurohit),[Rank: 502] VECTOR (vikazrajpurohit),502.0
421,grandmaster,tarobxl,https://www.kaggle.com/tarobxl,6,16,14,18083,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-09,tarobxl (tarobxl),[Rank: 503] tarobxl (tarobxl),503.0
422,expert,hiromu,https://www.kaggle.com/hiromukitamori,0,3,2,18076,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN,2022-09,hiromu (hiromukitamori),[Rank: 429] hiromu (hiromukitamori),429.0
423,expert,Khoa Ngo,https://www.kaggle.com/nejicool96,0,7,3,18057,Vietnam,Hanoi,Hanoi,AI Engineer,Panasonic R&D Center Vietnam,2022-09,Khoa Ngo (nejicool96),[Rank: 505] Khoa Ngo (nejicool96),505.0
424,grandmaster,narsil,https://www.kaggle.com/narsil,6,10,0,18025,Poland,Masovian Voivodeship,Warsaw,"Senior Director, Head of Data Science",Digital Turbine Group,2022-09,narsil (narsil),[Rank: 506] narsil (narsil),506.0
425,master,Zoltan,https://www.kaggle.com/szabo7zoltan,2,3,4,17995,United States,New Jersey,Princeton,studying machine learning,my free time,2022-09,Zoltan (szabo7zoltan),[Rank: 507] Zoltan (szabo7zoltan),507.0
426,expert,Fritz Cremer,https://www.kaggle.com/fritzcremer,1,1,3,17904,Germany,Berlin,Berlin,Computer science student,Free University of Berlin,2022-09,Fritz Cremer (fritzcremer),[Rank: 491] Fritz Cremer (fritzcremer),491.0
427,master,Đàm Trọng Tuyên,https://www.kaggle.com/damtrongtuyen,2,7,2,17859,Vietnam,Hanoi,Hanoi,Data Scientist,Viettel Group,2022-09,Đàm Trọng Tuyên (damtrongtuyen),[Rank: 512] Đàm Trọng Tuyên (damtrongtuyen),512.0
428,expert,hxcc,https://www.kaggle.com/potatoc5,1,1,1,17851,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-09,hxcc (potatoc5),[Rank: 513] hxcc (potatoc5),513.0
429,expert,Matthias Hauser,https://www.kaggle.com/hiarsl,1,1,1,17850,Germany,Berlin,Berlin,Data Scientist,UNKOWN,2022-09,Matthias Hauser (hiarsl),[Rank: 514] Matthias Hauser (hiarsl),514.0
430,master,SAVE,https://www.kaggle.com/chenshengabc,3,3,4,17806,China,Beijing,Beijing,fintech,UNKOWN,2022-09,SAVE (chenshengabc),[Rank: 358] SAVE (chenshengabc),358.0
431,grandmaster,raddar,https://www.kaggle.com/raddar,12,16,8,17730,Lithuania,Vilnius County,Vilnius,Co-Founder & Data Scientist,oxipit.ai,2022-09,raddar (raddar),[Rank: 517] raddar (raddar),517.0
432,expert,horohoro,https://www.kaggle.com/horohoro,0,3,8,17727,Japan,Chiba,Chiba,UNKOWN,UNKOWN,2022-09,horohoro (horohoro),[Rank: 401] horohoro (horohoro),401.0
433,master,Martin Kovacevic Buvinic,https://www.kaggle.com/ragnar123,1,10,2,17675,Chile,Santiago Metropolitan Region,Santiago,Data Scientist,UNKOWN,2022-09,Martin Kovacevic Buvinic (ragnar123),[Rank: 481] Martin Kovacevic Buvinic (ragnar123),481.0
434,expert,Gabriel Preda,https://www.kaggle.com/gpreda,0,1,4,17656,Romania,Bucharest,Bucharest,Data Scientist,Endava,2022-09,Gabriel Preda (gpreda),[Rank: 435] Gabriel Preda (gpreda),435.0
435,grandmaster,CoreyLevinson,https://www.kaggle.com/returnofsputnik,5,6,5,17652,United States,Illinois,Chicago,UNKOWN,UNKOWN,2022-09,CoreyJamesLevinson (returnofsputnik),[Rank: 519] CoreyJamesLevinson (returnofsputnik),519.0
436,master,Mengfei Li,https://www.kaggle.com/meli19,3,7,6,17620,Germany,Lower Saxony,Wolfsburg,Some DS/ML Fan,Automotive Industry,2022-09,Mengfei Li (meli19),[Rank: 488] Mengfei Li (meli19),488.0
437,expert,shoji,https://www.kaggle.com/shoiwa,0,0,2,17618,Japan,Tokyo,Tokyo,software engineer,a civil engineering company,2022-09,shoji (shoiwa),[Rank: 369] shoji (shoiwa),369.0
438,master,Nikita Churkin,https://www.kaggle.com/churkinnikita,2,13,5,17612,Italy,Campania,Ischia,DS,UNKOWN,2022-09,Nikita Churkin (churkinnikita),[Rank: 482] Nikita Churkin (churkinnikita),482.0
439,master,Phaedrus,https://www.kaggle.com/pheadrus,2,9,3,17599,India,West Bengal,Kolkata,Data Scientist II,Novartis,2022-09,Phaedrus (pheadrus),[Rank: 521] Phaedrus (pheadrus),521.0
440,expert,Takahiro Saito,https://www.kaggle.com/takahiro3110,0,1,8,17598,Japan,Tokyo,Tokyo,Engineer,Spectra-Pyisics,2022-09,Takahiro Saito (takahiro3110),[Rank: 522] Takahiro Saito (takahiro3110),522.0
441,expert,H.Ochiai,https://www.kaggle.com/dsohonosom,0,7,2,17597,Japan,Nara,Nara,System Engineer,UNKOWN,2022-09,H.Ochiai (dsohonosom),[Rank: 493] H.Ochiai (dsohonosom),493.0
442,master,lafe,https://www.kaggle.com/biglafe,1,4,0,17488,China,Zhejiang,Hangzhou,engineer,UNKOWN,2022-09,lafe (biglafe),[Rank: 525] lafe (biglafe),525.0
443,master,K.T.,https://www.kaggle.com/ktakita,1,2,2,17472,Japan,Kanagawa,Yokohama,Production technology development,UNKOWN,2022-09,K.T. (ktakita),[Rank: 527] K.T. (ktakita),527.0
444,master,MOONMOON,https://www.kaggle.com/kevin1742064161,1,8,0,17470,China,Guangdong Province,Guangzhou,graduate student,UNKOWN,2022-09,ZhaoQin (kevin1742064161),[Rank: 207] ZhaoQin (kevin1742064161),207.0
445,grandmaster,Alexander Larko,https://www.kaggle.com/alexxanderlarko,14,32,33,17435,Russia,Krasnoyarsk Krai,Minusinsk,CEO,CJSC  «Infocentre»,2022-09,Alexander Larko (alexxanderlarko),[Rank: 508] Alexander Larko (alexxanderlarko),508.0
446,expert,syuuuuu,https://www.kaggle.com/syuuuuukun,0,4,4,17416,Japan,Kanagawa,Kawasaki,UNKOWN,UNKOWN,2022-09,syuuuuu (syuuuuukun),[Rank: 515] syuuuuu (syuuuuukun),515.0
447,master,Jaideep,https://www.kaggle.com/jaideepvalani,1,13,3,17408,India,Karnataka,Bengaluru,Consultant,XYZ,2022-09,Jaideep (jaideepvalani),[Rank: 529] Jaideep (jaideepvalani),529.0
448,master,Kuro,https://www.kaggle.com/enukuro,1,4,4,17399,Japan,Tokyo,Tokyo,UNKOWN,UNKOWN,2022-09,Kuro (enukuro),[Rank: 530] Kuro (enukuro),530.0
449,master,Rai,https://www.kaggle.com/rai555,1,7,2,17398,India,Karnataka,Bengaluru,UNKOWN,UNKOWN,2022-09,Rai (rai555),[Rank: 531] Rai (rai555),531.0
450,master,hklee,https://www.kaggle.com/zeemeen,2,3,1,17362,South Korea,Seoul,Seoul,Software Engineer,Nowhere,2022-09,hklee (zeemeen),[Rank: 534] hklee (zeemeen),534.0
451,master,Mark Tenenholtz,https://www.kaggle.com/marktenenholtz,1,3,1,17360,United States,Ohio,Cincinnati,Stealth,Stealth,2022-09,Mark Tenenholtz (marktenenholtz),[Rank: 535] Mark Tenenholtz (marktenenholtz),535.0
452,expert,Fabien Crom,https://www.kaggle.com/fabiencrom,0,3,3,17354,UNKOWN,UNKOWN,UNKOWN,UNKOWN,UNKOWN,2022-09,Fabien Crom (fabiencrom),[Rank: 536] Fabien Crom (fabiencrom),536.0
453,expert,PIkachu,https://www.kaggle.com/gyanendradas,0,5,10,17334,India,Jharkhand,Dhanbad,Undergrad Student ,IIT ISM DHANBAD,2022-09,PIkachu (gyanendradas),[Rank: 538] PIkachu (gyanendradas),538.0
454,master,Ryota,https://www.kaggle.com/ryotak12,1,5,2,17296,Japan,Fukuoka,Fukuoka,Student,Kyushu Univ.,2022-09,Ryota (ryotak12),[Rank: 540] Ryota (ryotak12),540.0
455,master,heartkilla,https://www.kaggle.com/aruchomu,3,1,4,17290,Japan,Tokyo,Chiyoda City,Data Scientist,"MC Digital, Mitsubishi Group",2022-09,heartkilla (aruchomu),[Rank: 541] heartkilla (aruchomu),541.0
456,master,HAO,https://www.kaggle.com/lihaorocky,1,6,1,17278,China,Beijing,Beijing,Data Scientist,AHI,2022-09,HAO (lihaorocky),[Rank: 511] HAO (lihaorocky),511.0
457,master,OsciiArt,https://www.kaggle.com/osciiart,3,8,3,17269,Japan,Osaka,Osaka,"Osamu Akiyama, a medical doctor",Osaka University,2022-09,OsciiArt (osciiart),[Rank: 542] OsciiArt (osciiart),542.0
458,expert,Alex,https://www.kaggle.com/onlise,0,8,5,17242,Italy,Lombardy,Milan,UNKOWN,UNKOWN,2022-09,Alex (onlise),[Rank: 543] Alex (onlise),543.0
459,master,Chenglu,https://www.kaggle.com/snaker,1,3,0,17231,China,Sichuan,Chengdu,Software Engineer,featurize.ai,2022-09,Chenglu (snaker),[Rank: 249] Chenglu (snaker),249.0
460,master,DrHB,https://www.kaggle.com/drhabib,5,8,4,17205,United States,Virginia,Ashburn,Scientist,HHMI,2022-09,DrHB (drhabib),[Rank: 445] DrHB (drhabib),445.0
461,master,Andres Torrubia,https://www.kaggle.com/antorsae,4,9,2,17189,Spain,Valencian Community,Alicante,Competitor,Kaggle,2022-09,Andrés Miguel Torrubia Sáez (antorsae),[Rank: 343] Andrés Miguel Torrubia Sáez (antorsae),343.0
462,master,DmitryS,https://www.kaggle.com/simakov,3,7,5,17189,Russia,UNKOWN,Moscow,DS,"Sber, Artificial Intelligence Lab",2022-09,DmitryS (simakov),[Rank: 544] DmitryS (simakov),544.0
463,expert,laxman kusuma,https://www.kaggle.com/laxmankusuma,0,1,1,17186,India,Telangana,Hyderabad,data scientist,posidex,2022-09,laxman kusuma (laxmankusuma),[Rank: 386] laxman kusuma (laxmankusuma),386.0
464,master,Makotu,https://www.kaggle.com/mhyodo,2,8,3,17178,Japan,Tokyo,Tokyo,Data Scientist,BrainPad,2022-09,Makotu (mhyodo),[Rank: 477] Makotu (mhyodo),477.0
465,master,olivier,https://www.kaggle.com/ogrellier,2,11,7,17122,France,Brittany,Quimper,VP of Data Science,H2O.ai,2022-09,olivier (ogrellier),[Rank: 516] olivier (ogrellier),516.0
466,expert,htsbrer,https://www.kaggle.com/ht5brer,0,5,2,17115,Japan,Tokyo,Tokyo,DA,Tokyo,2022-09,htsbrer (ht5brer),[Rank: 545] htsbrer (ht5brer),545.0
467,master,Daewoo Myoung,https://www.kaggle.com/ttagu99,2,8,7,17075,South Korea,Chungcheongnam-do,Asan-si,Data Scientist,mnc.ai,2022-09,Daewoo Myoung (ttagu99),[Rank: 520] Daewoo Myoung (ttagu99),520.0
468,master,Ivan Aerlic,https://www.kaggle.com/ivanaerlic,2,4,1,17042,Australia,Victoria,Melbourne,Salesforce Developer,Global Payments,2022-09,Ivan Aerlic (ivanaerlic),[Rank: 221] Ivan Aerlic (ivanaerlic),221.0
469,master,kami,https://www.kaggle.com/kami634,1,2,2,17038,Japan,Tokyo,Tokyo,student,University of Tokyo,2022-09,kami (kami634),[Rank: 548] kami (kami634),548.0
470,master,Zekun,https://www.kaggle.com/zekunn,1,8,2,17013,China,Fujian,Fuzhou,Student,HUST,2022-09,Zekun (zekunn),[Rank: 549] Zekun (zekunn),549.0
471,master,yuvaramsingh,https://www.kaggle.com/yuvaramsingh,1,3,1,16982,India,Tamil Nadu,Chennai,Student,IIT Madras,2022-09,yuvaramsingh (yuvaramsingh),[Rank: 551] yuvaramsingh (yuvaramsingh),551.0
472,master,tacorice,https://www.kaggle.com/atagiyuya,1,3,7,16877,Japan,Tokyo,Tokyo,Engineer,UNKOWN,2022-09,tacorice (atagiyuya),[Rank: 524] tacorice (atagiyuya),524.0
473,master,Xianli Yang,https://www.kaggle.com/power0341,2,2,2,16844,China,UNKOWN,UNKOWN,gacha gamer,UNKOWN,2022-09,Xianli Yang (power0341),[Rank: 389] Xianli Yang (power0341),389.0
474,master,Tian,https://www.kaggle.com/tiandaye,1,5,10,16776,China,Sichuan,Chengdu,Kaggle,SCU,2022-09,Tian (tiandaye),[Rank: 480] Tian (tiandaye),480.0
475,expert,Théo Cachet,https://www.kaggle.com/theocachet,1,1,0,16754,France,Auvergne-Rhône-Alpes,Grenoble,Research scientist,Naver Labs Europe,2022-09,Théo Cachet (theocachet),[Rank: 559] Théo Cachet (theocachet),559.0
476,expert,Faisal Alsrheed,https://www.kaggle.com/faisalalsrheed,0,1,3,16745,Saudi Arabia,Eastern Province,Dammam,AI advisor,Freelancer,2022-09,Faisal Alsrheed (faisalalsrheed),[Rank: 404] Faisal Alsrheed (faisalalsrheed),404.0
477,expert,Vitalii Mokin,https://www.kaggle.com/vbmokin,0,1,6,16729,Ukraine,Vinnytsia Oblast,Vinnytsia,Professor,Vinnytsia National Technical University,2022-09,Vitalii Mokin (vbmokin),[Rank: 510] Vitalii Mokin (vbmokin),510.0
478,expert,Gold Retriever,https://www.kaggle.com/tonychenxyz,0,6,9,16693,United States,New York,New York,Undergraduate Student,Columbia University,2022-09,Gold Retriever (tonychenxyz),[Rank: 562] Gold Retriever (tonychenxyz),562.0
479,expert,John Mitchell,https://www.kaggle.com/jbomitchell,0,7,2,16668,United Kingdom,Scotland,St Andrews,Reader in Chemistry,University of St Andrews,2022-09,John Mitchell (jbomitchell),[Rank: 563] John Mitchell (jbomitchell),563.0
480,expert,Ihor Biruk,https://www.kaggle.com/biruk1230,0,3,6,16654,Ukraine,UNKOWN,Kyiv,Deep Learning Engineer,"Russian warship, go f##k yourself!",2022-09,Ihor Biruk (biruk1230),[Rank: 564] Ihor Biruk (biruk1230),564.0
481,master,YuanXu,https://www.kaggle.com/xuyuan,4,6,3,16614,Germany,Berlin,Berlin,UNKOWN,UNKOWN,2022-09,YuanXu (xuyuan),[Rank: 566] YuanXu (xuyuan),566.0
482,master,Ctrl_CV,https://www.kaggle.com/guohey,1,7,2,16598,China,Shaanxi,Xi'an,Master Student,NPU,2022-09,Ctrl_CV (guohey),[Rank: 537] Ctrl_CV (guohey),537.0
483,expert,Robson,https://www.kaggle.com/robsonsan,0,3,2,16588,Brazil,State of Rio de Janeiro,Macaé,Petroleum Engineer,Petrobras,2022-09,Robson (robsonsan),[Rank: 287] Robson (robsonsan),287.0
484,expert,AndNov,https://www.kaggle.com/andnov,0,0,3,16555,Indonesia,Jakarta,Jakarta,IT Consultant,Independent,2022-09,AndNov (andnov),[Rank: 347] AndNov (andnov),347.0
485,grandmaster,Btbpanda,https://www.kaggle.com/btbpanda,5,4,4,16508,Russia,UNKOWN,Moscow,Data Scientist ,AI Lab,2022-09,Btbpanda (btbpanda),[Rank: 570] Btbpanda (btbpanda),570.0
486,master,Ceshine Lee,https://www.kaggle.com/ceshine,1,19,12,16499,UNKOWN,UNKOWN,UNKOWN,Data Scientist,Veritable,2022-09,Ceshine Lee (ceshine),[Rank: 571] Ceshine Lee (ceshine),571.0
487,master,Helgi,https://www.kaggle.com/helgith,3,9,9,16477,Germany,Baden-Württemberg,Heidelberg,UNKOWN,SAP SE,2022-09,Helgi (helgith),[Rank: 573] Helgi (helgith),573.0
488,master,UGK,https://www.kaggle.com/meguru07,2,2,3,16465,Japan,Tokyo,Tokyo,Data Scientist,Japanese Company,2022-09,UGK (meguru07),[Rank: 574] UGK (meguru07),574.0
489,grandmaster,Eugene Khvedchenya,https://www.kaggle.com/bloodaxe,5,4,4,16450,Ukraine,Odessa Oblast,Odesa,Computer Vision ,Consultant,2022-09,Eugene Khvedchenya (bloodaxe),[Rank: 575] Eugene Khvedchenya (bloodaxe),575.0
490,expert,Janos,https://www.kaggle.com/janosk21,0,9,24,16448,Germany,Hessen,Frankfurt,Director Data Science,Baxter Int,2022-09,Janos (janosk21),[Rank: 359] Janos (janosk21),359.0
491,expert,skyramp,https://www.kaggle.com/skyramp,1,1,0,16371,Russia,UNKOWN,Moscow,software developer,Qrator Labs,2022-09,skyramp (skyramp),[Rank: 576] skyramp (skyramp),576.0
492,master,Ding Li,https://www.kaggle.com/dandingclam,1,12,5,16341,China,Beijing,Beijing,UNKOWN,UNKOWN,2022-09,Ding Li (dandingclam),[Rank: 577] Ding Li (dandingclam),577.0
493,master,ironbar,https://www.kaggle.com/ironbar,2,5,1,16333,Spain,Navarre,Pamplona,Data Scientist,Veridas,2022-09,ironbar (ironbar),[Rank: 579] ironbar (ironbar),579.0
494,grandmaster,YouHan Lee,https://www.kaggle.com/youhanlee,7,9,8,16325,South Korea,Gyeonggi-do,Seongnam-si,AI Researcher,Kakaobrain,2022-09,YouHan Lee (youhanlee),[Rank: 580] YouHan Lee (youhanlee),580.0
495,master,AndyX,https://www.kaggle.com/syxuming,1,8,2,16314,Singapore,UNKOWN,Singapore,Alchemist,Jupyter,2022-09,AndyX (syxuming),[Rank: 582] AndyX (syxuming),582.0
496,expert,Hwigeon Oh,https://www.kaggle.com/hwigeon,0,8,3,16275,South Korea,Gyeonggi-do,Yongin-si,Studying AI,home,2022-09,Hwigeon Oh (hwigeon),[Rank: 408] Hwigeon Oh (hwigeon),408.0
497,expert,Joni Juvonen,https://www.kaggle.com/qitvision,0,7,7,16265,Finland,UNKOWN,Turku,Lead AI Engineer,Silo AI,2022-09,Joni Juvonen (qitvision),[Rank: 471] Joni Juvonen (qitvision),471.0
498,master,Daniel Gärber,https://www.kaggle.com/gandagorn,2,3,0,16260,UNKOWN,UNKOWN,UNKOWN,Student,Graz University of Technology,2022-09,Daniel Gärber (gandagorn),[Rank: 557] Daniel Gärber (gandagorn),557.0
499,expert,Damien Mourot,https://www.kaggle.com/nahman,1,1,0,16212,France,Île-de-France,Paris,Engineering Manager,leboncoin,2022-09,Damien Mourot (nahman),[Rank: 586] Damien Mourot (nahman),586.0
500,expert,Ruslan Vdovychenko,https://www.kaggle.com/rolandw0w,0,3,6,16182,Ukraine,UNKOWN,Kyiv,Senior Software Engineer,Sift,2022-09,Ruslan Vdovychenko (rolandw0w),[Rank: 451] Ruslan Vdovychenko (rolandw0w),451.0
501,master,tattaka,https://www.kaggle.com/tattaka,1,4,4,16175,Japan,Tokyo,Tokyo,Junior CG & ML engineer,CG production company,2022-09,tattaka (tattaka),[Rank: 558] tattaka (tattaka),558.0
502,grandmaster,YuyaYamamoto,https://www.kaggle.com/nejumi,5,7,1,16167,Japan,Tokyo,Tokyo,hoge,hoge,2022-09,YuyaYamamoto (nejumi),[Rank: 590] YuyaYamamoto (nejumi),590.0
503,expert,radioactive,https://www.kaggle.com/tiquasar,0,3,1,16156,India,Jharkhand,Bokaro Steel City,UNKOWN,UNKOWN,2022-09,radioactive (tiquasar),[Rank: 430] radioactive (tiquasar),430.0
504,master,tik_boa,https://www.kaggle.com/tikboa,1,4,0,16134,China,Guangdong Province,Shenzhen,Engineer,Alibaba DAMO Academy,2022-09,tik_boa (tikboa),[Rank: 592] tik_boa (tikboa),592.0
505,master,Kirill Shipitsyn,https://www.kaggle.com/kirillshipitsyn,1,5,3,16122,Russia,UNKOWN,Moscow,Software Developer,CQG,2022-09,Kirill Shipitsyn (kirillshipitsyn),[Rank: 593] Kirill Shipitsyn (kirillshipitsyn),593.0
